LAD11CD,total_length_meters_2011,length_meters_2016,length_meters_2020
E07000127,10766.0,51259.8,101377.9
E07000128,6842.9,28130.2,42299.5
E07000129,28824.6,68457.7,86037.8
E07000130,45558.2,97100.3,123141.8
E07000131,26301.9,129009.6,186548.4
E07000132,17948.0,87116.8,96683.0
E07000133,30567.5,59961.5,122517.8
E07000134,39783.2,92909.1,117314.2
E07000135,480.4,10730.7,17507.4
E07000136,6153.0,9768.8,15013.2
E07000137,26848.1,74971.1,98858.8
E07000138,33157.4,42929.2,46316.2
E07000139,26330.7,61704.2,77200.5
E07000140,7867.1,16278.9,32644.9
E07000141,13573.0,57348.9,66145.2
E07000142,41924.9,57235.7,76485.3
E07000143,40128.6,126937.6,139005.7
E07000144,58751.4,88577.9,122470.2
E07000145,28367.0,35249.0,39891.3
E07000146,83174.8,128666.0,189455.2
E07000147,8960.9,33109.3,57630.0
E07000148,28429.1,52411.5,58404.1
E07000149,26180.9,65489.3,95946.2
E07000150,375.0,4253.8,4396.0
E07000151,81311.5,162244.7,183147.6
E07000152,22708.2,153683.9,160029.2
E07000153,9098.1,33697.0,44509.5
E07000154,82185.0,145122.1,158899.1
E07000155,198609.9,210841.6,206892.8
E07000156,8833.2,33163.1,42143.7
E07000163,142683.3,183761.1,191515.9
E07000164,83403.1,176789.0,159917.1
E07000165,100823.7,252337.8,262433.8
E07000166,37120.1,106361.9,166920.8
E07000167,269499.9,401409.5,383387.9
E07000168,124354.0,241090.9,243390.7
E07000169,72252.9,103304.5,102795.0
E07000170,33867.5,80656.4,93143.4
E07000171,26520.8,78098.9,99127.6
E07000172,43173.7,69753.4,72541.9
E07000173,28543.7,65028.0,71539.2
E07000174,20347.5,54807.3,61499.9
E07000175,163268.2,190082.6,197153.5
E07000176,85527.1,154136.1,173109.1
E07000177,158231.8,220464.1,267875.3
E07000178,93755.6,110680.1,112285.8
E07000179,279473.8,314640.9,338195.3
E07000180,114671.8,173031.4,209895.6
E07000181,207937.5,268044.9,283216.6
E07000187,30006.0,102538.0,144002.6
E07000188,55226.9,135740.5,144258.2
E07000189,23136.0,65789.5,170702.8
E07000190,26191.9,73979.4,149317.9
E07000191,87078.6,338642.8,515271.2
E07000192,28681.4,55230.0,65055.0
E07000193,28548.2,41292.6,68725.3
E07000194,41892.4,56336.8,90658.0
E07000195,42761.3,66425.2,67839.2
E07000196,63401.8,129502.0,150053.8
E07000197,47319.2,114431.9,164406.1
E07000198,54684.9,75653.0,97949.0
E07000199,10350.1,45596.9,49847.5
E07000200,40515.3,89305.0,96716.2
E07000201,43477.7,85641.0,103519.7
E07000202,32358.5,54574.9,58629.1
E07000203,34469.0,66840.5,88907.9
E07000204,69474.5,94532.9,110134.9
E07000205,111745.1,143100.4,159619.0
E07000206,39107.3,62515.3,84761.4
E07000207,1745.1,26162.2,48297.7
E07000208,38319.5,59194.4,70484.2
E07000209,201810.1,263145.5,298799.2
E07000210,167154.9,213832.0,216722.8
E07000211,66475.8,89534.2,100747.3
E07000212,8072.0,46255.5,53070.3
E07000213,897.5,21789.2,30070.0
E07000214,46365.0,71498.0,73990.5
E07000215,87861.6,121474.4,117474.0
E07000216,217337.6,288352.2,311072.0
E07000217,20511.4,66100.1,69773.0
E07000218,20693.0,22021.9,49438.8
E07000219,13646.7,23270.9,28122.3
E07000220,72267.6,137656.6,157482.0
E07000221,108936.3,215804.3,262336.8
E07000222,57072.2,91340.4,104096.6
E07000223,20346.5,30263.0,26947.1
E07000224,153598.1,182898.1,189892.0
E07000225,439464.0,412270.5,420341.0
E07000226,34549.7,46183.8,51803.8
E07000227,173946.5,263317.4,231566.9
E07000228,59389.7,132195.7,146351.8
E07000229,26509.6,30763.9,33230.6
E07000234,17451.4,42083.0,48190.0
E07000235,62362.7,120053.2,178428.7
E07000236,10409.5,25643.8,28492.5
E07000237,34387.9,44664.8,46649.7
E07000238,52727.2,141412.4,172823.3
E07000239,32897.1,49536.5,59559.4
E08000001,7925.4,34624.4,106234.9
E08000002,2235.3,49932.4,62000.6
E08000003,76266.4,157570.1,198861.8
E08000004,7110.5,34419.7,60832.9
E08000005,34447.9,58779.3,86833.9
E08000006,5553.7,74087.3,146208.7
E08000007,45902.6,88012.5,127164.7
E08000008,10468.1,56325.1,87354.8
E08000009,30985.1,85923.1,130160.8
E08000010,2882.7,67092.8,144839.4
E08000011,8045.0,15325.2,37954.5
E08000012,45551.8,64793.0,91600.3
E08000014,59527.2,84530.2,105986.4
E08000015,27659.2,77280.4,98030.0
E08000016,82679.1,119588.3,169339.6
E08000017,41718.3,107050.3,118449.0
E08000018,37088.6,74324.5,113292.6
E08000019,144211.4,176739.6,277571.5
E08000020,33111.6,86706.6,102967.0
E08000021,54590.5,94247.5,113081.1
E08000022,61896.5,114610.2,131726.1
E08000023,20687.2,60289.1,66842.5
E08000024,49775.4,99325.1,104614.7
E08000025,103644.5,202943.8,243084.6
E08000026,19953.8,55863.0,67660.0
E08000027,18919.1,23990.0,40628.0
E08000028,52876.0,65054.9,83425.0
E08000029,37164.7,66901.1,93284.7
E08000030,21864.9,23687.3,25980.1
E08000031,21813.2,41875.6,52053.2
E08000032,84096.0,134973.4,157927.2
E08000033,49743.6,86009.2,101797.8
E08000034,80977.2,140316.5,155384.3
E08000035,198819.5,332861.6,432821.7
E08000036,83865.8,174453.9,180895.8
E09000001,2732.3,13767.1,12530.1
E09000002,2300.6,34293.9,60032.7
E09000003,32588.9,48584.4,51086.0
E09000004,15390.5,39005.5,50627.5
E09000005,10829.2,20648.7,28034.0
E09000006,24748.1,51627.3,59735.4
E09000007,15664.5,24784.6,26480.6
E09000008,16909.0,76974.5,90899.2
E09000009,31904.6,68364.5,75615.7
E09000010,21400.2,55238.3,96620.1
E09000011,17690.2,33632.6,78274.8
E09000012,18865.3,31744.8,45168.7
E09000013,15496.8,29004.1,35304.7
E09000014,14066.3,40483.3,46625.3
E09000015,11774.4,18326.9,25659.9
E09000016,10004.2,34764.7,55179.1
E09000017,45476.1,79096.2,101324.4
E09000018,31882.0,63384.6,94400.9
E09000019,10646.4,19615.0,22780.4
E09000020,10101.4,11956.2,10941.5
E09000021,11082.5,27840.5,43316.8
E09000022,8603.8,20283.2,30944.9
E09000023,16234.3,24861.7,37076.1
E09000024,15313.9,46125.7,56395.4
E09000025,27196.3,74711.7,101087.9
E09000026,13184.0,33143.2,57391.4
E09000027,37758.9,89272.7,82643.7
E09000028,29822.2,58897.3,64750.5
E09000029,24763.1,30846.5,38848.6
E09000030,29841.9,45029.2,54164.8
E09000031,29091.7,63047.3,100980.4
E09000032,21852.4,32662.3,42635.8
E09000033,27090.6,35205.2,43265.0
E08000013,0.0,25393.1,51866.2
