LSOA11CD,total_length_meters_2011,length_meters_2020
E01000918,367.4,313.6
E01000920,20.9,123.6
E01000921,78.4,51.4
E01000922,0.7,0.8
E01000928,8.4,33.0
E01000936,48.1,310.8
E01000937,37.0,190.3
E01000938,93.4,248.5
E01000939,144.3,149.7
E01000940,104.3,191.8
E01000941,86.5,75.8
E01000943,84.4,206.3
E01000946,952.1,1003.3
E01000948,143.9,113.9
E01000951,6.1,10.4
E01000953,1212.4,4236.3
E01000956,192.1,807.9
E01000957,816.2,1017.3
E01000958,818.7,1576.9
E01000959,200.8,176.9
E01000963,105.0,505.8
E01000967,6.0,5.6
E01000975,71.7,266.9
E01000990,504.1,510.8
E01000992,113.4,1684.4
E01001009,29.8,29.8
E01001011,114.8,768.7
E01001013,16.1,174.9
E01001014,212.1,1919.6
E01001018,78.4,84.9
E01001022,105.4,368.6
E01001035,452.5,457.0
E01001036,173.8,1067.7
E01001042,33.6,604.6
E01001044,122.3,1110.4
E01001047,245.3,287.8
E01001049,4.2,834.8
E01001054,662.5,662.6
E01001057,0.7,0.7
E01001058,469.8,450.5
E01001059,431.8,597.4
E01001060,330.8,3304.1
E01001064,886.7,3968.0
E01001065,1316.5,3148.9
E01001068,10.3,857.2
E01001071,222.5,2173.5
E01001075,34.7,640.4
E01001078,72.6,313.2
E01001079,1.2,1.2
E01001081,530.4,598.0
E01001085,78.8,63.7
E01001087,1.3,0.0
E01001104,2402.3,1277.2
E01001105,409.2,238.8
E01001106,134.1,117.4
E01001113,16.4,228.5
E01001117,323.0,344.1
E01001118,35.7,102.8
E01001119,46.0,997.4
E01001121,831.1,929.1
E01001122,828.6,597.2
E01001126,383.6,424.1
E01001127,4.9,278.6
E01001133,155.3,751.0
E01001134,49.2,142.1
E01001135,86.1,1497.0
E01001143,17.7,13.8
E01001166,33.4,861.8
E01001167,296.3,43.2
E01001172,44.4,225.5
E01001175,27.0,28.9
E01001176,24.2,126.1
E01001178,479.1,475.5
E01001181,211.8,230.5
E01001183,91.5,311.3
E01001185,72.0,302.6
E01001189,151.4,168.5
E01001190,873.5,859.7
E01001192,2.1,0
E01001194,979.7,2441.7
E01001195,26.6,2.4
E01001196,59.7,275.2
